Creation_Date;Index_Symbol;Index_Name;Index ISIN;Internal_Key;ISIN;SEDOL;RIC;Instrument_Name;Country;Currency;Exchange;Industry;Supersector;Sector;Subsector;Close_Price;Close_Price_Currency;New_Shares;New_Float;New_CapFactor;New_WeightFactor;New_Mcap_Units;Weights;Index_Membership_Previous;New_Index_Membership;Changes
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;274642;CA56501R1064;2492519;MFC.TO;Manulife Financial Corp.;CA;CAD;Toronto Stock Exchange;30;3030;303010;30301010;26.2248956;EUR;;;1;253768;6655039;.6655;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;NA;CA6330671034;2077303;NA.TO;National Bank of Canada;CA;CAD;Toronto Stock Exchange;30;3010;301010;30101010;73.6279935;EUR;;;1;86100;6339370;.63394;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;US40VL;US25278X1090;B7Y8YR3;FANG.OQ;DIAMONDBACK ENERGY;US;USD;NASDAQ;60;6010;601010;60101010;134.278884;EUR;;;1;46266;6212547;.62126;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;HBAN;US4461501045;2445966;HBAN.OQ;Huntington Bancshares Inc.;US;USD;NASDAQ;30;3010;301010;30101010;13.1515944;EUR;;;1;455183;5986382;.59864;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;HWP;US40434L1052;BYX4D52;HPQ.N;HP Inc.;US;USD;NYSE;10;1010;101020;10102030;25.7045518;EUR;;;1;231995;5963327;.59633;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;US506X;US1746101054;BQRX1X3;CFG.N;CITIZENS FINANCIAL GROUP;US;USD;NYSE;30;3010;301010;30101010;36.5905354;EUR;;;1;159524;5837069;.58371;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;RY;CA7800871021;2754383;RY.TO;Royal Bank of Canada;CA;CAD;Toronto Stock Exchange;30;3010;301010;30101010;100.4541428;EUR;;;1;57537;5779830;.57798;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;SRE;US8168511090;2138158;SRE.N;Sempra;US;USD;NYSE;65;6510;651020;65102000;62.488493;EUR;;;1;91739;5732632;.57326;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;DUK;US26441C2044;B7VD3F2;DUK.N;Duke Energy Corp.;US;USD;NYSE;65;6510;651020;65102000;108.8690458;EUR;;;1;51968;5657707;.56577;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;US205T;US7185461040;B78C4Y8;PSX.N;PHILLIPS 66;US;USD;NYSE;60;6010;601010;60101020;112.82005;EUR;;;1;49996;5640551;.56406;Y;Y;
